size,p53_concentration,is_cancerous
-0.004164936524136716,0.0017850734344602727,1
0.012898248148738226,0.0018985663081065498,1
0.013674451489185696,0.00119347037945102,1
0.008774015313608356,0.0036730596591509727,0
0.00975099310550778,0.005570540045453603,0
0.018514009350821904,0.0017347705815978168,1
0.00706393170421612,0.0007822903685004148,1
0.015423724656156573,0.0016591330779815259,1
0.011259321128231917,0.00039388252782515535,1
0.008805238278462087,0.0034805357747479614,0
0.022836742670876348,0.004018950724455031,0
0.009101473014311804,0.003675977099863249,0
0.01580337026592101,0.0010169692105916,1
-0.014066641241000223,0.0014502194224087805,1
0.020791691503296655,0.0035799423246950985,0
0.005235394309142944,0.0005825171153092828,1
-0.012276446804689955,0.0008450255983331269,1
0.0020234192178054562,0.0015612800957510709,1
-0.009931206083019272,0.0032240787468511057,0
0.022556041025582896,0.0025931448207236834,0
0.00737447152940248,0.00294139585502022,0
0.013473863572586602,0.0028151596163160262,0
0.019057136292127803,0.0008186441238508539,1
0.029630573057299006,0.0020078936803967027,1
0.021641561947821443,0.0005536617524836613,1
0.011582638455362362,0.005078474728151036,0
0.01501733396370037,0.0005545328690127506,1
0.01995253039533607,0.00039344319149160474,1
-0.005136081007516745,0.000209605796254246,1
0.004325827509920179,0.001323111105354117,1
0.022935041429574775,0.004726195490963888,0
0.011665510418563431,0.003248332929415545,0
0.01884452955506001,0.005825189378646741,0
-0.0002880904767566875,0.004476288049554759,0
2.5171724436074544e-05,0.003434063729183025,0
0.002484606691769692,1.7546795954550762e-06,1
0.013571665091170523,0.0008128215134098256,1
-0.004764165949386641,0.0018723685398738012,1
0.002193947657313823,0.0006882276926557158,1
0.009057565664219959,0.00412641628053672,0
-0.0033836618542550517,0.00016858346931875924,1
0.02061310395928512,0.002693401295911,0
0.0034795687906711125,0.0036895755335926124,0
0.011724686418914328,0.0017078492622143882,1
0.000868173010083859,0.001167084974307681,1
-0.005532197287099997,0.0026688692897328076,0
0.02219316192958322,0.0062201148806960965,0
0.018161934430480343,0.007189666760285283,0
-0.0008416784618714094,0.0003029171051778738,1
0.005008757163089057,0.003025438828541508,0
0.011328938820559645,0.0012477339044710484,1
0.004646212229029793,0.003220151788458401,0
0.020193719072497163,0.0017649359412215664,1
0.013680845809922357,1.6149143291343225e-05,1
